iter	Passed	Remaining
0	1	148
1	2	134
2	3	125
3	4	115
4	5	113
5	7	113
6	8	113
7	10	115
8	11	115
9	12	116
10	14	117
11	15	116
12	17	114
13	18	114
14	20	117
15	22	119
16	24	120
17	26	121
18	28	120
19	29	118
20	31	117
21	32	116
22	34	114
23	35	113
24	37	112
25	39	111
26	40	110
27	42	108
28	43	106
29	44	104
30	46	103
31	48	102
32	49	100
33	51	99
34	52	97
35	54	96
36	55	95
37	57	93
38	58	91
39	59	89
40	60	87
41	61	84
42	62	83
43	64	81
44	65	80
45	67	79
46	68	77
47	70	76
48	71	74
49	72	72
50	74	71
51	75	69
52	76	68
53	78	66
54	78	64
55	80	63
56	81	61
57	83	60
58	85	59
59	86	57
60	88	56
61	89	54
62	91	53
63	92	52
64	94	50
65	95	49
66	97	47
67	98	46
68	100	45
69	101	43
70	103	42
71	104	40
72	106	39
73	108	37
74	109	36
75	110	35
76	112	33
77	113	32
78	115	30
79	116	29
80	118	27
81	119	26
82	121	24
83	122	23
84	124	21
85	125	20
86	127	19
87	129	17
88	130	16
89	132	14
90	133	13
91	135	11
92	136	10
93	137	8
94	139	7
95	140	5
96	142	4
97	144	2
98	145	1
99	146	0
